,Method,Relative Error (%),Iter
436,Double Model Lasso Matching Mean,167.75294133615083,0
437,Double Model Lasso Matching Mean,71.61204978332813,0
438,Double Model Lasso Matching Mean,15.111203968831088,0
439,Double Model Lasso Matching Mean,67.87080334892353,0
440,Double Model Lasso Matching Mean,167.23044638376496,0
441,Double Model Lasso Matching Mean,137.98335428783568,0
442,Double Model Lasso Matching Mean,384.7343435844923,0
443,Double Model Lasso Matching Mean,30.920036621311336,0
444,Double Model Lasso Matching Mean,197.74120687565474,0
445,Double Model Lasso Matching Mean,38.59080709778694,0
446,Double Model Lasso Matching Mean,19.513429378729302,0
447,Double Model Lasso Matching Mean,4.286200370449106,0
448,Double Model Lasso Matching Mean,46.314169431106045,0
449,Double Model Lasso Matching Mean,44.60450448370224,0
450,Double Model Lasso Matching Mean,165.6999956568792,0
451,Double Model Lasso Matching Mean,360.44788885159534,0
452,Double Model Lasso Matching Mean,47.193526281443994,0
453,Double Model Lasso Matching Mean,118.13878271709805,0
454,Double Model Lasso Matching Mean,26.323433178335936,0
455,Double Model Lasso Matching Mean,6.221909747236443,0
456,Double Model Lasso Matching Mean,113.93313557511517,0
457,Double Model Lasso Matching Mean,221.27941750331252,0
458,Double Model Lasso Matching Mean,128.75632728824087,0
459,Double Model Lasso Matching Mean,0.8620448852080126,0
460,Double Model Lasso Matching Mean,193.14997152984617,0
461,Double Model Lasso Matching Mean,119.29026615217428,0
462,Double Model Lasso Matching Mean,11.237060911753575,0
463,Double Model Lasso Matching Mean,74.25457618026435,0
464,Double Model Lasso Matching Mean,125.19882073517505,0
465,Double Model Lasso Matching Mean,102.64144818489794,0
466,Double Model Lasso Matching Mean,39.41765997856364,0
467,Double Model Lasso Matching Mean,152.39099310592778,0
468,Double Model Lasso Matching Mean,50.8141210221018,0
469,Double Model Lasso Matching Mean,362.36827196871906,0
470,Double Model Lasso Matching Mean,54.36351865635009,0
471,Double Model Lasso Matching Mean,128.94439558031695,0
472,Double Model Lasso Matching Mean,83.10925298300353,0
473,Double Model Lasso Matching Mean,14.808646482009461,0
474,Double Model Lasso Matching Mean,15.39874535456391,0
475,Double Model Lasso Matching Mean,219.47702460241607,0
476,Double Model Lasso Matching Mean,108.33057918948614,0
477,Double Model Lasso Matching Mean,74.30341426949131,0
478,Double Model Lasso Matching Mean,99.64306373138038,0
479,Double Model Lasso Matching Mean,53.40431788810487,0
480,Double Model Lasso Matching Mean,178.9962305145946,0
481,Double Model Lasso Matching Mean,288.17954082437313,0
482,Double Model Lasso Matching Mean,36.59646784445905,0
483,Double Model Lasso Matching Mean,71.86327951512172,0
484,Double Model Lasso Matching Mean,140.576689669066,0
485,Double Model Lasso Matching Mean,320.21805543095223,0
486,Double Model Lasso Matching Mean,35.19231702311369,0
487,Double Model Lasso Matching Mean,102.91519995936274,0
488,Double Model Lasso Matching Mean,74.05418860497768,0
489,Double Model Lasso Matching Mean,181.3724472464792,0
490,Double Model Lasso Matching Mean,85.46395208969471,0
491,Double Model Lasso Matching Mean,25.327659436938582,0
492,Double Model Lasso Matching Mean,10.2346653384748,0
493,Double Model Lasso Matching Mean,28.626980476099174,0
494,Double Model Lasso Matching Mean,105.0553158431728,0
495,Double Model Lasso Matching Mean,276.1721279561247,0
496,Double Model Lasso Matching Mean,113.15812267465081,0
497,Double Model Lasso Matching Mean,76.42996574760758,0
498,Double Model Lasso Matching Mean,147.9657787597928,0
499,Double Model Lasso Matching Mean,36.20784047060222,0
500,Double Model Lasso Matching Mean,129.4193082208245,0
501,Double Model Lasso Matching Mean,95.09680884737661,0
502,Double Model Lasso Matching Mean,62.60952005167635,0
503,Double Model Lasso Matching Mean,18.916575808998886,0
504,Double Model Lasso Matching Mean,43.78650754772956,0
505,Double Model Lasso Matching Mean,120.32774388889874,0
506,Double Model Lasso Matching Mean,236.56468627018788,0
507,Double Model Lasso Matching Mean,127.18458341930226,0
508,Double Model Lasso Matching Mean,334.59917615520675,0
509,Double Model Lasso Matching Mean,8.248518673959582,0
510,Double Model Lasso Matching Mean,46.39374627980752,0
511,Double Model Lasso Matching Mean,47.22660553237394,0
512,Double Model Lasso Matching Mean,21.810866508789285,0
513,Double Model Lasso Matching Mean,25.105654605926826,0
514,Double Model Lasso Matching Mean,71.49441369349223,0
515,Double Model Lasso Matching Mean,163.12106067261968,0
