dgp,n_train,n_est,n_imp,n_unimp,k,query_seed,sample_seed,seed
lihua_uncorr_homo,10000,1000,2,100,31,100,42069,3654
lihua_uncorr_homo,10000,1000,2,100,31,100,42069,3696
lihua_uncorr_homo,10000,1000,2,100,31,100,42069,3738
lihua_uncorr_homo,10000,1000,2,100,31,100,42069,3780
lihua_uncorr_homo,10000,1000,2,100,31,100,42069,3822
lihua_uncorr_homo,10000,1000,2,100,31,100,42069,3864
lihua_uncorr_homo,10000,1000,2,100,31,100,42069,3906
lihua_uncorr_homo,10000,1000,2,100,31,100,42069,3948
lihua_uncorr_homo,10000,1000,2,100,31,100,42069,3990
lihua_uncorr_homo,10000,1000,2,100,31,100,42069,4032
lihua_uncorr_homo,10000,1000,2,100,31,100,42069,4074
lihua_uncorr_homo,10000,1000,2,100,31,100,42069,4116
lihua_uncorr_homo,10000,1000,2,100,31,100,42069,4158
lihua_corr_homo,10000,1000,2,10,31,100,42069,0
lihua_corr_homo,10000,1000,2,10,31,100,42069,42
lihua_corr_homo,10000,1000,2,10,31,100,42069,84
lihua_corr_homo,10000,1000,2,10,31,100,42069,126
lihua_corr_homo,10000,1000,2,10,31,100,42069,168
lihua_corr_homo,10000,1000,2,10,31,100,42069,210
lihua_corr_homo,10000,1000,2,10,31,100,42069,252
lihua_corr_homo,10000,1000,2,10,31,100,42069,294
lihua_corr_homo,10000,1000,2,10,31,100,42069,336
lihua_corr_homo,10000,1000,2,10,31,100,42069,378
lihua_corr_homo,10000,1000,2,10,31,100,42069,420
lihua_corr_homo,10000,1000,2,10,31,100,42069,462
lihua_corr_homo,10000,1000,2,10,31,100,42069,504
lihua_corr_homo,10000,1000,2,10,31,100,42069,546
lihua_corr_homo,10000,1000,2,10,31,100,42069,588
lihua_corr_homo,10000,1000,2,10,31,100,42069,630
lihua_corr_homo,10000,1000,2,10,31,100,42069,672
lihua_corr_homo,10000,1000,2,10,31,100,42069,714
lihua_corr_homo,10000,1000,2,10,31,100,42069,756
lihua_corr_homo,10000,1000,2,10,31,100,42069,798
lihua_corr_homo,10000,1000,2,10,31,100,42069,840
lihua_corr_homo,10000,1000,2,10,31,100,42069,882
lihua_corr_homo,10000,1000,2,10,31,100,42069,924
lihua_corr_homo,10000,1000,2,10,31,100,42069,966
lihua_corr_homo,10000,1000,2,10,31,100,42069,1008
lihua_corr_homo,10000,1000,2,10,31,100,42069,1050
lihua_corr_homo,10000,1000,2,10,31,100,42069,1092
lihua_corr_homo,10000,1000,2,10,31,100,42069,1134
lihua_corr_homo,10000,1000,2,10,31,100,42069,1176
lihua_corr_homo,10000,1000,2,10,31,100,42069,1218
lihua_corr_homo,10000,1000,2,10,31,100,42069,1260
