,iter,lb,ub,stderr,coverage,Method
32,32,27.090063319289683,28.78844839113107,0.42663339763984015,0,BART
33,33,27.563632855543872,29.463119607487585,0.47715002927751393,0,BART
34,34,25.003157996433547,26.88495835543814,0.472707217080967,0,BART
35,35,23.61933545257066,25.245558949991455,0.40850644976180667,0,BART
36,36,25.561231506065752,27.29605626709339,0.43578702755818116,0,BART
37,37,26.531485470863526,28.201924906669408,0.41961346920976444,0,BART
38,38,23.830444734040316,25.32780735560475,0.37613666849080296,0,BART
39,39,26.30533937746542,27.99784784176278,0.4251571970510158,0,BART
40,40,25.466693415445334,27.127214102007166,0.417121884845014,0,BART
41,41,26.93646400100772,28.339585072408582,0.35246324282795355,0,BART
42,42,24.967365387219047,26.53791921546103,0.39452225942651903,0,BART
43,43,26.726975672073703,28.46001817686884,0.4353393257710271,0,BART
44,44,23.223150615435916,24.9301778267676,0.42880429833530215,0,BART
45,45,25.760724527323788,27.410855754098627,0.4145120582502939,0,BART
46,46,28.714617608872338,30.327118220808593,0.40505926846190055,0,BART
47,47,23.808942480668623,25.16137498408641,0.3397303023784296,0,BART
48,48,23.82070261516761,25.51376626861187,0.4252966602599205,0,BART
49,49,25.833103319083726,27.54006841361172,0.4287886946283169,0,BART
50,0,33.2308410702747,34.82355984043888,0.4000900806689095,0,LCM
51,1,31.48478007062416,33.80930652261572,0.5839197685844105,0,LCM
52,2,34.304165234750776,35.7886067616701,0.3728908966095831,0,LCM
53,3,32.16579479646621,33.544306110090965,0.3462812851852559,0,LCM
54,4,31.912299802566846,33.61948393589993,0.4288437170559036,0,LCM
55,5,32.07994024870615,33.79851155057327,0.43170416754014024,0,LCM
56,6,31.75990936158695,33.47987430740531,0.43205425013559007,0,LCM
57,7,34.84643234214304,36.13406354701497,0.3234522517593673,0,LCM
58,8,30.829854986342127,32.797828724714634,0.49435392266934175,0,LCM
59,9,31.198014698996147,32.75178904213478,0.39030726198042953,0,LCM
60,10,33.648682662153426,35.30223489071911,0.41537141202203715,0,LCM
61,11,31.90264204654557,33.746773967883996,0.46324492621904945,0,LCM
62,12,33.834747096176876,35.39180536930541,0.39113218339102535,0,LCM
63,13,30.455335322996458,32.41409090532472,0.49203832693175736,0,LCM
64,14,32.25336519980608,34.06138111707891,0.45417260582531366,0,LCM
65,15,34.14928435128169,35.749766364981,0.4020402031829425,0,LCM
66,16,33.37105942405592,35.03230767879692,0.4173046495721876,0,LCM
67,17,32.882714596816314,34.597328915489484,0.430710175534193,0,LCM
68,18,31.287751542660747,33.065362534154005,0.446534905161672,0,LCM
69,19,32.66760314454019,34.73917628100471,0.5203780345943946,0,LCM
70,20,30.863785407831912,33.24324940812838,0.597720050558105,0,LCM
71,21,34.275004782327805,35.879146749575845,0.4029595815050836,0,LCM
72,22,33.2091508592844,34.55505945288842,0.3380914998148134,0,LCM
73,23,31.289794690805248,33.20954588866768,0.48224044696719426,0,LCM
74,24,33.92745638318986,35.76594429848028,0.46182715499832594,0,LCM
75,25,31.793291187682225,33.668010664672934,0.4709285034064563,0,LCM
76,26,34.295756742453634,36.04746805162203,0.4400289191804899,0,LCM
77,27,32.247322800505046,33.78612841028969,0.3865471243796839,0,LCM
78,28,33.009750130570154,34.36643044365752,0.3407973498353966,0,LCM
79,29,30.50511924373267,32.47384259960526,0.4945422261738255,0,LCM
80,30,30.396752809119356,32.5909385700586,0.5511782585485953,0,LCM
81,31,33.96592408997269,35.51849091106088,0.3900039331042827,0,LCM
82,32,34.081819248611325,35.917191832780375,0.4610445855309435,0,LCM
83,33,33.30684202193615,35.10318039476738,0.4512392130725131,0,LCM
84,34,30.72815362100435,32.341931642872,0.4053801531353743,0,LCM
85,35,31.734726285963035,33.13600949502599,0.35200157281764993,0,LCM
86,36,34.620743525702174,36.34831746080099,0.4339656240655355,0,LCM
87,37,31.702288216315587,33.33768982655996,0.4108119866643419,0,LCM
88,38,31.88193913767946,33.843336598315126,0.49270196531219745,0,LCM
89,39,32.658364237302344,34.25677342849033,0.4015195113060693,0,LCM
90,40,32.74407131588076,34.90644856462997,0.5431879777492059,0,LCM
91,41,34.16032402554527,35.93203201072371,0.4450520732161155,0,LCM
